timestamp(unix),user_acc_xAshu,user_acc_x23,user_acc_x22,user_acc_x21,user_acc_x20
1475015818,-0.029202,-0.006138,-0.00552,0.023073,-0.795584
1475015818,-0.023848,0.003351,0.001751,-0.001351,-0.813212
1475015818,-0.013,0.005324,0.016801,-0.015503,-0.810833
1475015818,0.022025,0.017215,0.035674,-0.021542,-0.817402
1475015818,0.027297,0.022041,0.049565,-0.011408,-0.81517
1475015818,0.015164,0.016304,0.063894,-0.009052,
1475015818,-0.015675,-0.001999,0.071641,-0.004667,-0.818967
1475015818,-0.010014,,,0.012716,-0.813281
1475015818,-0.015913,,0.074274,0.007568,-0.810203
1475015818,-0.019621,-0.014786,0.064871,,-0.807935
1475015818,-0.015609,,0.042255,0.004412,-0.814553
1475015818,-0.015964,-0.032932,0.022738,-0.001584,-0.82307
1475015818,-0.014172,-0.026747,0.019959,-0.011868,-0.810511
1475015818,-0.016845,,0.004714,-0.01127,-0.828625
1475015818,-0.017495,-0.022499,-0.011419,-0.017204,-0.781525
1475015818,-0.0242,,-0.037468,-0.026679,-0.761108
1475015818,-0.023102,-0.012924,-0.051849,-0.039039,-0.759011
1475015818,-0.023692,-0.005001,-0.025274,-0.043153,-0.775167
1475015818,-0.001518,-0.001839,-0.000122,-0.059732,-0.794935
1475015818,-0.001064,-0.000562,0.008516,-0.065852,-0.793771
1475015818,0.007029,0.006658,0.017002,,-0.789202
1475015818,0.016073,0.014586,,-0.07866,-0.781324
1475015818,0.016611,0.026472,0.023123,,-0.780743
1475015818,0.011852,0.032628,,-0.086524,-0.788521
1475015818,-0.005698,0.031153,0.010086,-0.095552,-0.787794
1475015818,-0.004637,0.021045,-0.00646,-0.139385,-0.786623
1475015818,-0.010217,0.015458,-0.017522,-0.144008,-0.788561
1475015818,-0.013653,0.007654,-0.018991,-0.141225,
1475015818,-0.013508,0.006206,0.002525,-0.153006,
1475015818,-0.011348,0.017286,0.013009,-0.147727,-0.803579
1475015818,-0.004265,0.02895,0.026765,-0.17389,-0.799285
1475015818,-0.003116,0.040544,0.051343,-0.109356,-0.81922
1475015818,0.000026,0.047801,0.069145,-0.062561,-0.81632
1475015818,0.015616,0.05329,0.066373,-0.024817,-0.806318
1475015818,0.014625,0.053831,0.053858,-0.010266,-0.796352
1475015818,0.022295,0.052442,0.033854,0.069669,-0.775392
1475015818,0.010473,0.05808,0.030122,0.11608,-0.763758
1475015818,0.010851,0.078699,0.052378,0.117115,-0.74675
1475015818,0.005771,0.142962,0.072066,,-0.725491
1475015818,0.004832,0.182316,0.09542,0.171931,-0.71554
1475015818,0.00519,0.143349,0.127632,0.162865,
1475015818,0.010301,0.133513,0.156622,0.157189,-0.714012
1475015818,0.014407,0.107304,0.154105,0.202133,-0.703847
1475015818,0.009311,0.071863,0.153528,0.247384,-0.676213
1475015818,0.010503,0.062056,,0.16612,-0.651506
1475015818,0.004366,0.099618,0.158329,-0.178222,-0.638066
1475015818,0.00572,0.121981,0.210209,0.032813,-0.626835
1475015818,0.007331,0.118014,0.212901,-0.34656,-0.622206
1475015818,0.000939,0.102445,0.229284,-0.335071,-0.643199
1475015818,-0.001175,0.089606,0.246866,-0.042204,-0.687125
1475015818,0.000398,0.040845,0.217182,0.250047,-0.671906
1475015818,-0.005128,0.078516,0.346984,0.400823,-0.695996
1475015818,-0.007916,0.093136,0.346822,0.356043,-0.628765
1475015818,-0.00669,0.123227,0.414696,0.190467,-0.564505
1475015818,-0.012278,0.151256,0.453677,0.062818,-0.630948
1475015818,-0.015077,0.220573,0.013467,0.00083,-0.580884
1475015818,-0.014781,0.281883,-0.404171,0.033998,-0.56221
1475015818,-0.022429,0.347802,-0.358691,0.048187,-0.589458
