timestamp,attitude_roll,attitude_pitch,attitude_yaw,rotation_rate_x,rotation_rate_y,rotation_rate_z,gravity_x,gravity_y,gravity_z,user_acc_x,user_acc_y,user_acc_z,magnetic_field_x,magnetic_field_y,magnetic_field_z,latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp
1465846417.19,-0.101067,-0.006620,-1.491783,0.005931,-0.021555,0.001467,-0.100893,0.006620,-0.994875,-0.000242,0.005267,0.005221,-44.767128,230.991028,-111.278297,,,,,,
1465846417.20,-0.101451,-0.006616,-1.491764,-0.004711,-0.015183,0.002481,-0.101275,0.006615,-0.994836,-0.009763,-0.000054,0.003656,-44.767128,230.991028,-111.278297,,,,,,
1465846417.21,-0.101409,-0.006666,-1.491751,0.000678,0.036841,0.002160,-0.101233,0.006666,-0.994840,-0.009653,0.000994,0.003889,-44.833755,231.061142,-111.105820,,,,,,
1465846417.22,-0.100830,-0.006660,-1.491738,-0.001401,0.077190,0.001905,-0.100657,0.006660,-0.994899,-0.005803,-0.000373,0.006053,-44.833755,231.061142,-111.105820,,,,,,
1465846417.23,-0.099953,-0.006656,-1.491735,-0.004574,0.092060,0.000744,-0.099785,0.006655,-0.994987,-0.001564,-0.002810,-0.004372,-44.833755,231.061142,-111.105820,,,,,,
1465846417.24,-0.098904,-0.006661,-1.491728,-0.001372,0.098430,0.000707,-0.098740,0.006661,-0.995091,0.002885,-0.000511,-0.002651,-44.757679,231.067078,-111.124092,,,,,,
1465846417.25,-0.097990,-0.006678,-1.491724,-0.003521,0.082504,0.000805,-0.097831,0.006677,-0.995181,0.001243,-0.001032,-0.006772,-44.757679,231.067078,-111.124092,,,,,,
1465846417.26,-0.097201,-0.006699,-1.491717,-0.001410,0.067638,0.000900,-0.097046,0.006699,-0.995257,0.003098,0.000076,-0.004926,-44.757679,231.067078,-111.124092,,,,,,
1465846417.27,-0.096620,-0.006743,-1.491708,-0.000375,0.044278,0.001048,-0.096468,0.006743,-0.995313,0.003175,0.001680,-0.005373,-44.348442,231.072266,-111.277290,,,,,,
,,,,,,,,,,,,,,,,29.719946,-95.399075,10.301153,-1.000000,-1.000000,1465846412.30
,,,,,,,,,,,,,,,,29.719946,-95.399076,10.301153,-1.000000,-1.000000,1465846411.79
,,,,,,,,,,,,,,,,29.719946,-95.399075,10.301153,-1.000000,-1.000000,1465846412.30
1465846417.28,-0.096177,-0.006784,-1.491717,-0.000386,0.031543,-0.001001,-0.096026,0.006784,-0.995356,0.005603,0.002158,-0.002859,-44.348442,231.072266,-111.277290,,,,,,
1465846417.29,-0.095881,-0.006795,-1.491738,0.000688,0.038975,-0.001047,-0.095732,0.006795,-0.995384,-0.004030,0.001429,-0.000008,-44.232662,231.082077,-111.303001,,,,,,
1465846417.31,-0.094789,-0.006771,-1.491750,-0.001415,0.060212,-0.001182,-0.094645,0.006771,-0.995488,-0.000402,0.000172,-0.001018,-44.232662,231.082077,-111.303001,,,,,,
1465846417.30,-0.095397,-0.006766,-1.491738,0.000706,0.054899,-0.000082,-0.095250,0.006766,-0.995430,-0.001750,-0.001547,-0.002357,-44.232662,231.082077,-111.303001,,,,,,
1465846417.32,-0.094228,-0.006739,-1.491768,-0.000353,0.058087,-0.001168,-0.094086,0.006739,-0.995541,-0.002212,-0.001917,-0.005481,-44.232662,231.082077,-111.303001,,,,,,
