0,70.313
6.5185,67.383
13.037,70.313
19.556,70.313
26.074,128.91
32.593,90.82
39.111,73.242
45.63,73.242
52.148,70.313
58.667,67.383
65.185,67.383
71.704,82.031
78.222,84.961
84.741,84.961
91.259,61.523
97.778,58.594
104.3,64.453
110.81,61.523
117.33,61.523
123.85,67.383
130.37,67.383
136.89,67.383
143.41,67.383
149.93,67.383
156.44,61.523
162.96,55.664
169.48,55.664
176,52.734
182.52,52.734
189.04,46.875
195.56,52.734
202.07,49.805
208.59,52.734
215.11,55.664
221.63,58.594
228.15,58.594
234.67,61.523
241.19,58.594
247.7,52.734
254.22,49.805
260.74,52.734
267.26,55.664
273.78,52.734
280.3,52.734
286.81,55.664
293.33,55.664
299.85,52.734
306.37,55.664
312.89,55.664
319.41,55.664
325.93,58.594
332.44,55.664
338.96,93.75
345.48,93.75
352,96.68
