timestamp,attitude_roll,attitude_pitch,attitude_yaw,rotation_rate_x,rotation_rate_y,rotation_rate_z,gravity_x,gravity_y,gravity_z,user_acc_x,user_acc_y,user_acc_z,magnetic_field_x,magnetic_field_y,magnetic_field_z,latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp
1466451791.30,0.688878,0.001545,-0.760393,-0.007537,-0.020515,0.000534,0.635671,-0.001545,-0.771959,-0.000066,-0.000500,-0.002608,-9.894596,365.964172,-45.829414,,,,,,
1466451791.31,0.688527,0.001424,-0.760313,-0.010738,-0.025823,0.000564,0.635400,-0.001424,-0.772182,-0.000863,0.001912,-0.005879,-9.841026,365.990662,-45.628418,,,,,,
1466451791.32,0.689154,0.001338,-0.760247,-0.019102,0.089929,-0.004427,0.635884,-0.001338,-0.771784,-0.011220,-0.002630,0.014734,-9.841026,365.990662,-45.628418,,,,,,
,,,,,,,,,,,,,,,,29.719961,-95.399089,9.638813,-1.000000,-1.000000,1466452118.73
1466451791.33,0.690111,0.001166,-0.760161,-0.015872,0.118595,-0.004604,0.636622,-0.001166,-0.771175,-0.018733,-0.000360,0.000393,-9.835329,366.002045,-45.538574,,,,,,
1466451791.34,0.692173,0.001243,-0.760235,0.016237,0.256605,-0.002244,0.638211,-0.001243,-0.769861,-0.007840,-0.001412,0.013696,-9.835329,366.002045,-45.538574,,,,,,
1466451791.35,0.697085,0.001256,-0.760328,0.001728,0.568790,-0.007410,0.641985,-0.001256,-0.766716,-0.042147,0.000478,0.040001,-9.835329,366.002045,-45.538574,,,,,,
1466451791.36,0.703194,0.001170,-0.760349,-0.009907,0.626138,-0.009910,0.646657,-0.001170,-0.762780,-0.052891,-0.003316,0.010919,-9.835329,366.002045,-45.538574,,,,,,
1466451791.37,0.708312,0.001019,-0.760349,-0.011096,0.527389,-0.009292,0.650553,-0.001019,-0.759461,-0.019663,-0.000217,-0.016540,-9.263197,366.003143,-45.649734,,,,,,
1466451791.38,0.713904,0.000859,-0.760368,-0.012078,0.590041,-0.011815,0.654789,-0.000859,-0.755811,-0.018330,0.000752,0.003354,-9.263197,366.003143,-45.649734,,,,,,
,,,,,,,,,,,,,,,,29.719963,-95.399094,9.638813,-1.000000,-1.000000,1466452119.05
1466451791.39,0.720357,0.000627,-0.760344,-0.018359,0.673929,-0.013412,0.659653,-0.000627,-0.751570,-0.033356,-0.000044,0.011565,-9.263197,366.003143,-45.649734,,,,,,
1466451791.40,0.727563,0.000390,-0.760341,-0.018260,0.749322,-0.016013,0.665052,-0.000390,-0.746797,-0.036863,0.000283,0.007738,-8.853775,366.011383,-45.664673,,,,,,
1466451791.41,0.735817,0.000136,-0.760336,-0.019199,0.848073,-0.017698,0.671193,-0.000136,-0.741282,-0.032476,-0.000337,0.012172,-8.853775,366.011383,-45.664673,,,,,,
1466451791.42,0.744974,-0.000134,-0.760356,-0.018009,0.945762,-0.019374,0.677953,0.000134,-0.735105,-0.055852,-0.007397,0.019987,-8.853775,366.011383,-45.664673,,,,,,
1466451791.43,0.756032,-0.000469,-0.760337,-0.026227,1.183613,-0.021938,0.686040,0.000469,-0.727564,-0.116094,0.004261,0.026117,-7.673885,366.040192,-45.647591,,,,,,
1466451791.44,0.770834,-0.000876,-0.760343,-0.032114,1.574374,-0.029717,0.696733,0.000876,-0.717330,-0.117571,-0.001471,0.077193,-7.673885,366.040192,-45.647591,,,,,,
1466451791.45,0.788471,-0.001400,-0.760297,-0.039267,1.809044,-0.034389,0.709276,0.001400,-0.704930,-0.096712,0.001255,0.040379,-7.673885,366.040192,-45.647591,,,,,,
1466451791.46,0.807813,-0.001955,-0.760255,-0.045432,1.983189,-0.037617,0.722776,0.001955,-0.691079,-0.106596,0.000182,0.036737,-6.676901,366.061615,-45.632412,,,,,,
1466451791.47,0.829980,-0.002571,-0.760192,-0.047154,2.304922,-0.041765,0.737916,0.002571,-0.674888,-0.128663,-0.005150,0.068168,-6.676901,366.061615,-45.632412,,,,,,
1466451791.48,0.855732,-0.003295,-0.760088,-0.057354,2.653213,-0.049282,0.755047,0.003295,-0.655662,-0.111996,0.000657,0.066261,-6.676901,366.061615,-45.632412,,,,,,
1466451791.49,0.884277,-0.004086,-0.759960,-0.064462,2.925044,-0.053123,0.773451,0.004086,-0.633843,-0.133665,-0.000866,0.068490,-3.391039,366.137756,-45.383347,,,,,,
1466451791.50,0.916067,-0.004934,-0.759814,-0.065079,3.276510,-0.058521,0.793203,0.004934,-0.608937,-0.140997,-0.002920,0.085560,-3.391039,366.137756,-45.383347,,,,,,
,,,,,,,,,,,,,,,,29.719965,-95.399099,9.638813,-1.000000,-1.000000,1466452119.07
1466451791.51,0.951713,-0.005887,-0.759594,-0.078444,3.651342,-0.064078,0.814397,0.005887,-0.580279,-0.122273,0.001224,0.089815,-3.391039,366.137756,-45.383347,,,,,,
1466451791.52,0.989993,-0.006916,-0.759338,-0.079217,3.874339,-0.071864,0.836002,0.006916,-0.548682,-0.073643,0.002620,0.075828,-1.063160,366.191833,-45.060020,,,,,,
1466451791.53,1.029557,-0.007983,-0.759030,-0.086534,3.980526,-0.073602,0.857044,0.007983,-0.515182,-0.059375,-0.003421,0.057296,-1.063160,366.191833,-45.060020,,,,,,
1466451791.54,1.070689,-0.009085,-0.758617,-0.089497,4.163160,-0.075815,0.877495,0.009085,-0.479500,-0.060540,0.001551,0.059974,-1.063160,366.191833,-45.060020,,,,,,
1466451791.55,1.113539,-0.010243,-0.758186,-0.093559,4.306530,-0.085234,0.897220,0.010243,-0.441466,-0.008578,0.003551,0.077589,4.764870,366.342377,-43.572411,,,,,,
1466451791.56,1.157070,-0.011427,-0.757706,-0.091338,4.379793,-0.085691,0.915569,0.011427,-0.401998,-0.038509,0.010515,0.051763,4.764870,366.342377,-43.572411,,,,,,
,,,,,,,,,,,,,,,,29.720011,-95.399010,9.735072,-1.000000,-1.000000,1466452119.22
