X,Y,Z
-0.008862,0.001438,0.043584
-0.01003,0.000564,0.078749
-0.018897,0.010028,0.105402
-0.042735,0.008398,0.131305
-0.048497,0.009882,0.137119
-0.076359,0.005091,0.113954
-0.105288,0.000605,0.171171
-0.105604,0.000703,0.169695
-0.10416,0.005401,0.134246
-0.101478,0.005113,0.125446
-0.105384,0.011114,0.128854
-0.100265,0.00486,0.123211
-0.100778,0.01672,0.114969
-0.083951,0.011023,0.110363
-0.064678,0.008431,0.093023
-0.049475,0.010387,0.096792
-0.057681,-0.002208,0.065454
-0.050298,0.001628,0.06703
-0.032756,-0.002919,0.0715
-0.010925,-0.00186,0.074989
0.018629,0.016712,0.006801
0.026789,0.000284,-0.026838
0.013272,0.00809,-0.008151
0.027032,0.013029,-0.005065
0.049046,0.009625,-0.020007
0.08297,0.004201,-0.058746
0.079446,-0.00214,-0.05461
0.079798,-0.007844,-0.052884
0.089121,-0.009059,-0.075962
0.110418,-0.01634,-0.084973
0.093332,-0.010775,-0.08189
0.075691,-0.006032,-0.066504
0.075395,0.003261,-0.072253
0.072731,0.002164,-0.082273
0.077815,-0.000132,-0.086295
0.086179,-0.008359,-0.075313
0.0773,-0.003629,-0.084863
0.066204,0.002085,-0.087596
0.065787,-0.001496,-0.060832
0.055426,0.001778,-0.058168
0.048599,-0.006233,-0.053346
0.034959,-0.010059,-0.040833
0.043558,-0.012427,-0.005401
0.024334,-0.007151,-0.021247
0.022333,0.009199,-0.017408
0.032977,0.015259,-0.009548
0.019806,0.031554,-0.051133
0.040276,0.030219,-0.03777
0.033921,0.013808,-0.041033
0.044198,-0.010673,-0.013661
0.050574,-0.021366,0.01144
0.030346,-0.00765,-0.005685
0.025756,-0.010623,-0.002252
-0.009427,0.017092,-0.025537
-0.01639,0.020581,-0.021744
-0.033095,0.027334,-0.022986
-0.023699,0.005914,-0.006131
-0.026684,-0.006224,0.022008
-0.01491,-0.001725,0.038981
-0.021025,-0.0002,0.097125
-0.02813,-0.005343,0.04487
-0.043076,0.000221,0.050913
-0.029704,0.007606,0.063464
-0.03636,0.011194,0.047675
-0.030602,0.011106,0.040821
-0.048148,0.009549,0.027092
-0.039344,-0.006984,0.101368
-0.069622,0.01128,0.065927
-0.054196,-0.002085,0.089205
-0.054107,0.002259,0.073642
-0.042713,0.006746,0.072124
-0.036711,0.011147,0.03514
2.386712,-0.095699,-1.398316
0.616654,0.159976,-2.246537
0.170022,-0.115371,0.599182
0.039469,0.076517,1.220495
-0.281074,-0.05825,-0.110906
-0.088357,-0.0516,0.674999
-0.22271,-0.024653,0.548238
-0.310834,-0.067797,0.302198
-0.289324,0.05455,0.411542
-0.332679,0.013194,0.373854
-0.326865,0.070693,0.351484
0.777672,-0.01891,-0.482951
0.037008,0.023637,-0.754808
0.28792,-0.064032,-0.206018
-0.073141,0.002996,0.113421
-0.001929,-0.049508,0.099595
-0.110666,-0.022216,0.060874
-0.128574,0.000897,0.234391
-0.088999,-0.004593,0.266561
-0.122779,0.012782,0.13459
-0.08885,-0.000057,0.151278
-0.045907,-0.002174,0.098055
-0.066945,-0.001734,0.024269
-0.031658,-0.006032,0.014557
0.018024,0.005298,-0.038567
0.084024,-0.007813,-0.136705
0.10118,-0.018284,-0.15823
0.043869,-0.021568,-0.064318
-0.065764,-0.011777,0.097457
-0.167068,0.019057,0.223254
-0.128409,0.03524,0.216549
0.09733,0.002009,-0.003836
0.20003,-0.025758,-0.221891
0.2119,-0.012489,-0.208395
0.156467,-0.008107,-0.252955
0.154408,-0.014297,-0.190785
0.117851,0.001562,-0.222795
-0.001494,0.000615,-0.152707
0.12104,-0.004684,-0.154421
-0.000519,0.022606,0.03117
-0.354046,0.047984,0.111338
-0.227178,-0.032267,0.73532
-0.168152,-0.008586,0.509023
0.129004,-0.048664,-0.110796
0.198175,-0.011425,-0.318551
0.157898,0.001339,-0.199798
0.006165,0.018744,0.080574
-0.05007,-0.000773,0.243235
-0.065939,0.008078,0.181372
0.043158,-0.015339,-0.106477
0.032747,-0.00186,-0.11557
0.002637,-0.001747,-0.006293
-0.036756,0.012575,0.082741
-0.00459,-0.005186,0.027352
0.017764,-0.008028,-0.008248
0.017436,-0.011095,-0.015557
0.005205,-0.002311,0.011209
-0.001973,0.00683,0.00894
-0.000197,0.009171,0.016594
0.000624,0.006344,0.007669
0.006567,0.002997,-0.006791
0.008424,0.002821,0.006225
0.001694,0.001762,0.022439
0.006302,-0.000438,-0.008261
-0.000966,-0.000476,0.006963
0.004916,0.000572,-0.003305
0.004381,0.002518,0.009351
-0.000002,0.007831,0.007466
0.005682,-0.00327,0.018115
