timestamp,user_acc_x,user_acc_y,user_acc_z
1465407293,-0.00715,-0.000208,-0.000508
1465407293,-0.002841,-0.001296,-0.00302
1465407293,0.004242,-0.000423,-0.006477
1465407293,0.012558,0.001132,-0.015548
1465407293,0.0156,-0.000523,-0.015535
1465407293,0.006507,-0.000532,-0.010162
,,,
,,,
1465407293,-0.002879,-0.001219,-0.000111
1465407293,-0.005835,0.000988,0.000482
1465407293,-0.000652,0.00159,-0.004658
,,,
1465407293,0.005898,-0.001479,-0.004686
1465407293,-0.002718,0.002017,-0.006503
1465407293,-0.000566,-0.001914,0.002188
1465407293,0.000567,0.002301,-0.006389
1465407293,0.001148,-0.003055,-0.004
1465407293,-0.002327,0.005317,-0.0031
1465407293,0.006412,0.000808,-0.006403
,,,
1465407293,0.015572,0.003646,-0.017999
1465407293,0.019375,-0.002392,-0.016562
1465407293,0.01448,0.000014,-0.013346
1465407293,0.008507,-0.001896,-0.012595
1465407293,0.002393,-0.00022,-0.005678
1465407293,-0.00186,-0.000626,-0.00277
,,,
1465407293,-0.000654,-0.001125,-0.002381
1465407293,-0.003026,-0.000315,-0.004163
1465407293,-0.005576,-0.000863,-0.000438
1465407293,-0.010451,0.000358,0.004802
1465407293,-0.007693,-0.00065,0.002779
1465407293,-0.000216,-0.001101,-0.006434
1465407293,0.016586,-0.000297,-0.013922
1465407293,0.01574,0.001475,-0.018787
1465407293,0.007865,0.000371,-0.008233
1465407293,-0.004363,-0.000285,-0.003583
1465407293,-0.009496,0.000024,0.003167
1465407293,-0.010594,-0.001617,0.000471
1465407293,-0.009112,-0.000959,-0.000155
1465407293,-0.011125,-0.001073,-0.000914
1465407293,-0.014893,-0.00115,0.000326
1465407293,-0.009516,0.000211,0.007795
1465407293,-0.010739,0.001432,0.004265
1465407293,-0.003392,0.001074,-0.005041
,,,
1465407293,0.002276,0.001547,-0.008453
1465407293,0.00725,0.000585,-0.010228
1465407293,0.004635,-0.001182,-0.008626
1465407293,-0.000701,0.003167,-0.004417
1465407293,-0.007582,-0.000822,0.000695
1465407293,-0.013656,-0.00066,0.002976
1465407293,-0.014773,0.000422,0.003006
1465407293,-0.015609,0.000944,0.006082
1465407293,-0.016698,0.001283,0.008179
1465407293,-0.01586,0.0012,0.004344
1465407293,-0.010603,-0.008006,0.006426
1465407293,-0.042909,0.004421,0.01762
1465407293,-0.04736,-0.002503,0.038866
1465407293,-0.060055,0.002618,0.027632
1465407293,-0.060315,-0.004391,0.045797
1465407293,-0.082823,-0.00373,0.043442
1465407293,-0.103619,-0.002417,0.076744
1465407293,-0.085468,-0.004979,0.053756
1465407293,-0.009703,0.003326,0.019272
1465407293,0.049161,-0.001905,-0.036511
1465407293,0.052475,0.007516,-0.030356
1465407293,0.025157,-0.000936,-0.013146
1465407293,0.035623,0.003709,-0.021879
1465407293,0.049707,-0.001358,-0.041681
1465407293,0.027666,0.001858,-0.016337
1465407293,-0.02367,-0.002048,0.01028
1465407293,-0.079917,-0.004681,0.052858
1465407293,-0.083686,-0.001879,0.054899
1465407293,-0.063296,-0.00498,0.043006
1465407293,-0.063071,0.003146,0.050245
1465407293,-0.040849,-0.00054,0.032057
1465407293,0.015745,0.005203,0.001263
1465407293,0.047396,0.00058,-0.02204
1465407293,0.117596,0.003488,-0.073437
1465407294,0.143431,0.003659,-0.111494
1465407294,0.093357,0.002973,-0.056088
1465407294,0.010949,0.002802,-0.012507
1465407294,0.011971,0.005897,-0.015638
1465407294,-0.010321,-0.000787,0.014166
1465407294,0.090859,0.003984,-0.050194
1465407294,0.128296,0.000448,-0.100061
1465407294,0.117982,0.004477,-0.076226
1465407294,0.07581,-0.001645,-0.054772
1465407294,0.017039,-0.000929,-0.012546
1465407294,-0.023392,-0.000748,0.016092
1465407294,-0.05894,0.001899,0.037393
1465407294,-0.070626,-0.005802,0.044132
1465407294,-0.0879,0.000919,0.051024
1465407294,-0.106554,-0.003512,0.065842
1465407294,-0.133764,-0.000192,0.083568
1465407294,-0.157477,-0.008616,0.104074
1465407294,-0.159574,-0.002068,0.106873
1465407294,-0.165541,-0.009506,0.122057
1465407294,-0.13976,0.000045,0.118393
1465407294,-0.099075,-0.004819,0.086055
1465407294,-0.065745,0.013369,0.101714
1465407294,0.173191,0.001492,-0.075015
1465407294,0.372635,0.014056,-0.233264
1465407294,0.390927,0.007209,-0.256815
1465407294,0.251365,0.00704,-0.170015
1465407294,0.045398,0.000854,-0.02507
1465407294,-0.08323,-0.000389,0.053833
1465407294,-0.121788,0.000133,0.078514
1465407294,-0.094374,0.002816,0.061384
1465407294,-0.043095,-0.003311,0.023238
1465407294,-0.034185,0.000266,0.021765
1465407294,-0.045818,0.00315,0.029692
1465407294,-0.038755,-0.002919,0.031126
1465407294,-0.00191,0.00389,0.005504
1465407294,0.001339,-0.000199,0.008054
1465407294,-0.001401,0.002804,0.003929
