X,Y,Z
-0.054846,-0.004874,-0.038225
-0.029708,-0.000924,0.011711
-0.02918,-0.002407,0.01429
-0.011841,-0.000106,-0.002836
0.009329,-0.00022,0.002056
0.025192,0.001153,0.001607
0.02634,-0.003986,0.001444
0.024421,-0.001786,0.003279
0.026571,0.001581,0.012515
0.03765,0.005534,0.023237
0.0311,0.005961,0.004584
0.022557,0.003446,-0.006948
0.01805,0.002922,0.002551
0.015346,-0.001693,0.01293
0.016658,-0.001316,0.008471
0.020682,0.000278,0.002767
0.020123,0.00108,0.002123
0.012368,0.001466,0.002007
0.00567,0.001309,-0.002545
-0.000025,-0.000338,0.003817
-0.002987,0.000604,0.004419
-0.000586,0.002271,0.002448
0.003845,0.000733,0.002763
0.00262,0.000874,0.000324
-0.003046,-0.001779,-0.002704
-0.005974,-0.002662,-0.004729
-0.007979,-0.003659,0.001626
-0.003981,0.000263,0.000467
-0.000826,0.00208,0.004673
0.010397,0.004119,0.005683
0.016135,0.002169,0.005217
0.024294,0.00209,0.009386
0.034168,-0.000567,0.011206
0.039265,0.000568,0.011226
0.039204,0.001274,0.009869
0.047082,0.002307,0.017539
0.05208,0.00114,0.019265
0.058622,0.001665,0.016575
0.081898,0.001967,0.022287
0.074551,0.001736,0.029145
0.083241,0.002644,0.029121
0.076391,0.001968,0.018036
0.055649,0.000582,0.019208
0.036326,-0.002573,0.020637
-0.019904,-0.003371,0.005597
0.003706,-0.001309,0.007192
0.011138,0.002457,0.048721
0.021046,0.006838,0.013299
0.008122,0.001194,-0.012412
0.023528,0.003554,0.030852
0.013611,-0.000212,0.012627
-0.04754,-0.005051,-0.032667
-0.079582,-0.002375,-0.014664
-0.111702,-0.002211,-0.00673
-0.107267,-0.003058,-0.004758
-0.081124,-0.004168,-0.001635
-0.007211,-0.002372,0.020224
0.010409,0.000233,-0.001085
0.011947,0.002015,-0.036151
-0.010812,0.000861,-0.006625
0.004771,0.004329,0.0289
-0.009993,0.003247,0.015756
-0.001233,0.000969,-0.009272
-0.00479,-0.000375,-0.006088
0.00432,0.002669,0.012697
0.00545,0.004516,0.014749
0.004298,0.001345,0.00154
0.016164,0.003695,0.011755
0.026378,0.001848,0.015398
0.032111,0.000689,0.00679
0.033802,-0.001033,0.002065
0.031115,0.001893,0.009092
0.02956,0.003568,0.012122
0.035029,0.00414,0.020484
0.039464,0.000366,0.017138
0.048578,-0.000646,0.014541
0.047573,0.000598,0.011729
0.027365,-0.002575,-0.005106
0.024149,0.001327,0.015647
0.027636,0.002913,0.024008
0.033791,0.003026,0.020403
0.021072,0.002476,-0.004139
0.011489,0.00527,-0.000038
0.020236,0.007344,0.030306
0.001661,0.001541,0.003139
-0.003377,0.002466,0.000265
-0.015644,-0.000275,-0.005394
-0.013116,-0.000536,0.009138
-0.002233,0.002483,0.016375
0.011812,0.001711,0.004047
0.020197,0.00064,0.004142
0.023726,-0.000909,0.002966
0.037697,0.002011,0.021724
0.048063,0.004384,0.029399
0.050972,-0.000549,0.008741
0.06105,0.00064,0.021105
0.083608,0.001045,0.028345
0.098295,0.00314,0.031658
0.130557,0.004945,0.046521
0.166979,0.011589,0.068793
0.15557,0.00871,0.035935
0.136099,0.013948,0.037218
0.114381,0.009857,0.059857
0.106919,0.011927,0.083265
0.037468,0.006805,0.031017
0.030921,0.012763,0.054338
0.003294,0.012282,0.057588
-0.015884,0.001837,0.042614
-0.049828,0.002811,0.02716
-0.089325,-0.007319,0.008209
-0.12761,-0.002628,0.003684
-0.153007,-0.004924,-0.005504
-0.149462,-0.00661,-0.001819
-0.143169,0.000189,-0.005767
-0.181524,-0.001183,-0.072705
-0.212048,-0.007662,-0.069454
-0.178117,0.00382,-0.000141
-0.149204,0.004379,-0.017156
-0.122443,-0.002071,-0.030068
-0.068606,0.005742,-0.020581
-0.032711,-0.004005,0.004651
-0.001519,-0.00442,0.013351
0.0209,-0.001431,0.013013
0.032898,-0.006471,0.012578
0.037218,-0.002409,0.010747
0.050099,-0.004917,0.029789
0.085352,0.00236,0.049917
0.114534,0.001778,0.042451
0.133029,0.002811,0.030157
0.143278,0.001205,0.030497
0.162625,0.005432,0.048418
0.175228,0.002724,0.05939
0.141609,0.009639,0.021171
0.140181,0.005171,0.036131
0.121116,0.011126,0.065388
0.085579,0.009631,0.020924
0.05853,0.010529,0.044481
0.021509,0.010286,0.038
0.010966,0.010925,0.071146
-0.041499,0.009963,0.026767
-0.026465,0.012246,0.071605
-0.081943,0.009749,0.011816
-0.106934,0.004234,0.00721
-0.097183,0.002034,0.030856
-0.129305,0.000131,-0.003401
-0.180297,-0.004933,-0.064432
-0.182402,0.000422,-0.0202
-0.201575,-0.001008,-0.057145
-0.18992,0.00007,-0.039878
-0.172304,-0.000526,-0.056416
-0.163231,-0.005226,-0.058059
-0.127949,-0.002016,-0.01176
-0.154113,-0.004699,-0.045449
-0.119105,0.005118,-0.015869
-0.067578,0.010891,0.014993
-0.027871,0.013335,0.028163
-0.009647,0.007365,0.021413
-0.018316,0.001613,0.007727
-0.006274,-0.000027,0.046895
0.033919,0.007757,0.084903
0.081424,0.012969,0.097506
0.065543,0.018616,0.035831
0.094453,0.021653,0.05429
0.122089,0.020107,0.093895
0.122819,0.011712,0.062988
0.137168,0.010056,0.081898
0.138271,0.007345,0.057743
0.144515,0.01029,0.069544
0.164976,0.012208,0.075524
0.171346,0.006734,0.074295
0.166762,0.005507,0.059745
0.155002,-0.005596,0.057246
0.154559,-0.005544,0.05594
0.139373,-0.007963,0.058726
0.119927,-0.011334,0.054011
0.100476,-0.00344,0.038643
0.085591,-0.008017,0.051315
0.085183,-0.004013,0.059449
0.070079,-0.004018,0.044113
0.054838,-0.000989,0.028489
0.057602,0.005257,0.044584
0.008376,0.002715,0.001914
0.003759,0.015213,0.012082
0.02095,0.012566,0.054152
-0.00333,0.021544,0.0144
-0.045341,0.008566,-0.030636
-0.059177,-0.004533,-0.004443
-0.08425,-0.015491,0.001553
-0.077501,-0.019785,0.015169
-0.064401,-0.008363,0.011031
-0.049485,0.002042,-0.008439
-0.063454,0.012243,-0.046637
-0.06771,0.007746,-0.034817
-0.071087,0.00367,-0.015963
-0.062628,-0.005442,0.005262
-0.056175,-0.002153,-0.002192
-0.035124,0.00033,0.001161
-0.016137,0.006852,0.003211
-0.004588,0.00499,0.002486
-0.018946,0.002402,-0.00838
-0.022655,0.001744,0.00524
-0.015652,-0.000133,0.026499
0.007284,0.006794,0.038628
0.01637,0.003561,0.034369
0.042779,0.009848,0.036127
0.072985,0.006587,0.05608
0.080919,0.010998,0.041381
0.065433,0.008991,0.019781
0.052808,0.007342,0.026813
0.069537,0.011786,0.059873
0.106667,0.010356,0.087069
0.115329,0.006545,0.056403
0.103876,0.002548,0.023127
0.101263,0.000848,0.028782
0.101345,-0.000056,0.042499
0.098342,0.001898,0.049416
0.093808,-0.000443,0.044889
0.09099,0.000845,0.03594
0.086495,0.00125,0.033221
0.082089,0.000998,0.032475
0.076141,0.001321,0.02969
0.074648,0.003049,0.036857
0.068755,0.003929,0.034764
0.041279,0.001786,0.008161
0.014305,-0.004719,-0.003553
-0.000676,-0.010686,0.024961
0.00775,-0.008966,0.037879
0.018542,-0.000573,0.038651
0.034086,0.01263,0.008661
0.0365,0.024136,-0.004499
0.02054,0.024347,-0.019142
0.006232,0.023515,-0.01506
-0.014999,0.014407,0.000376
-0.022843,0.009812,0.010183
-0.024203,0.008827,-0.003889
-0.032062,-0.000476,-0.002664
-0.033318,-0.005124,-0.003857
-0.031881,-0.000642,0.003465
-0.025803,-0.003194,0.001404
-0.013306,0.004113,-0.00062
-0.011499,0.000454,0.002295
0.008108,-0.000323,0.016528
-0.004725,-0.000696,0.014774
0.006727,-0.008783,0.021498
0.023409,-0.005903,0.027258
0.046267,-0.002148,0.029401
0.071164,0.016028,0.025321
0.079907,0.031145,0.019466
