68.5,70.313,70.313,73.242,73.242,73.242,73.242,73.242,73.242,73.242,,,,,,,,,,,,,,,,,,
81,82.031,84.961,87.891,87.891,87.891,84.961,84.961,87.891,87.891,84.961,84.961,82.031,84.961,84.961,84.961,84.961,84.961,84.961,82.031,82.031,82.031,84.961,82.031,82.031,84.961,82.031,84.961
64,67.383,67.383,64.453,64.453,67.383,67.383,67.383,67.383,67.383,67.383,67.383,67.383,67.383,64.453,64.453,64.453,61.523,64.453,64.453,67.383,64.453,67.383,,,,,
43,43.945,43.945,41.016,41.016,41.016,43.945,43.945,41.016,43.945,43.945,41.016,41.016,41.016,38.086,41.016,41.016,43.945,41.016,41.016,41.016,43.945,43.945,43.945,41.016,41.016,41.016,41.016
53,49.805,52.734,52.734,52.734,52.734,52.734,52.734,52.734,52.734,52.734,49.805,49.805,52.734,52.734,52.734,52.734,52.734,49.805,52.734,52.734,52.734,55.664,52.734,52.734,52.734,52.734,55.664
41.5,38.086,38.086,38.086,41.016,41.016,41.016,41.016,38.086,38.086,38.086,38.086,41.016,41.016,41.016,41.016,41.016,41.016,41.016,43.945,43.945,41.016,41.016,41.016,41.016,41.016,41.016,
47.5,46.875,46.875,46.875,49.805,46.875,49.805,46.875,46.875,46.875,49.805,49.805,46.875,49.805,49.805,49.805,49.805,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,49.805,46.875,
52.5,49.805,49.805,52.734,52.734,52.734,52.734,55.664,52.734,55.664,52.734,52.734,52.734,55.664,52.734,52.734,52.734,52.734,52.734,52.734,52.734,52.734,52.734,52.734,52.734,,,
57.5,55.664,55.664,55.664,58.594,58.594,58.594,58.594,55.664,58.594,55.664,58.594,55.664,55.664,58.594,58.594,55.664,58.594,58.594,58.594,58.594,58.594,58.594,58.594,,,,
62.5,61.523,61.523,61.523,61.523,64.453,61.523,61.523,61.523,61.523,64.453,64.453,61.523,61.523,64.453,64.453,61.523,61.523,61.523,64.453,64.453,61.523,61.523,61.523,61.523,,,
97.5,96.68,93.75,96.68,102.54,99.609,96.68,99.609,99.609,93.75,,,,,,,,,,,,,,,,,,
103,99.609,102.54,102.54,102.54,105.47,102.54,102.54,102.54,105.47,102.54,102.54,105.47,102.54,,,,,,,,,,,,,,
96,96.68,93.75,93.75,96.68,96.68,96.68,96.68,96.68,,,,,,,,,,,,,,,,,,,
82.5,82.031,84.961,84.961,82.031,82.031,82.031,84.961,82.031,82.031,82.031,79.102,76.172,76.172,76.172,79.102,84.961,82.031,140.63,,,,,,,,,
97.5,96.68,99.609,102.54,96.68,102.54,102.54,96.68,93.75,,,,,,,,,,,,,,,,,,,
87.5,84.961,87.891,87.891,87.891,84.961,87.891,90.82,87.891,87.891,87.891,84.961,84.961,87.891,,,,,,,,,,,,,,
92.5,111.33,90.82,87.891,84.961,96.68,90.82,96.68,99.609,93.75,96.68,96.68,,,,,,,,,,,,,,,,
40,49.805,46.875,43.945,46.875,49.805,46.875,46.875,46.875,43.945,46.875,43.945,46.875,43.945,,,,,,,,,,,,,,
95.5,96.68,96.68,93.75,96.68,96.68,93.75,90.82,93.75,96.68,93.75,96.68,96.68,93.75,,,,,,,,,,,,,,
