timestamp,attitude_roll,attitude_pitch,attitude_yaw,rotation_rate_x,rotation_rate_y,rotation_rate_z,gravity_x,gravity_y,gravity_z,user_acc_x,user_acc_y,user_acc_z,magnetic_field_x,magnetic_field_y,magnetic_field_z,latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp
1465827837.15,-1.548870,0.111623,1.095537,-0.002343,0.004059,0.000350,-0.993538,-0.111391,-0.021788,0.706413,0.088167,-0.937730,128.594711,229.443573,-104.635674,,,,,,
1465827837.16,-1.531185,0.111486,1.093548,-0.001305,-0.006441,0.000418,-0.993012,-0.111256,-0.039355,0.699830,0.085392,-0.915677,128.594711,229.443573,-104.635674,,,,,,
1465827837.17,-1.513549,0.111306,1.091569,-0.002361,0.009607,-0.000746,-0.992184,-0.111076,-0.056862,0.700390,0.085975,-0.893776,128.594711,229.443573,-104.635674,,,,,,
1465827837.18,-1.496042,0.111063,1.089622,-0.001321,0.003347,0.001425,-0.991063,-0.110835,-0.074224,0.700917,0.086360,-0.880991,135.682495,230.201111,-93.419937,,,,,,
1465827837.19,-1.478826,0.110780,1.087695,-0.001348,-0.009276,0.000442,-0.989670,-0.110553,-0.091278,0.704224,0.086841,-0.862595,135.682495,230.201111,-93.419937,,,,,,
,,,,,,,,,,,,,,,,29.719964,-95.399056,10.269065,-1.000000,-1.000000,1465828806.53
1465827837.20,-1.461922,0.110574,1.085795,-0.001388,-0.029338,0.001633,-0.988008,-0.110349,-0.107996,0.704744,0.083356,-0.848807,135.682495,230.201111,-93.419937,,,,,,
,,,,,,,,,,,,,,,,29.719979,-95.399056,10.717276,-1.000000,-1.000000,1465828913.99
,,,,,,,,,,,,,,,,29.719964,-95.399056,10.269065,-1.000000,-1.000000,1465828806.53
1465827837.21,-1.445440,0.110276,1.083902,-0.001432,-0.054707,0.001794,-0.986127,-0.110052,-0.124268,0.702084,0.084799,-0.831908,138.845245,230.520050,-87.818451,,,,,,
1465827837.22,-1.429336,0.109885,1.082049,-0.001464,-0.069460,0.001888,-0.984040,-0.109664,-0.140139,0.696214,0.085860,-0.813429,138.845245,230.520050,-87.818451,,,,,,
1465827837.23,-1.413518,0.109454,1.080218,-0.001486,-0.076781,0.001936,-0.981747,-0.109235,-0.155693,0.690136,0.085508,-0.799263,138.845245,230.520050,-87.818451,,,,,,
1465827837.24,-1.397906,0.109032,1.078418,-0.001503,-0.080918,0.001963,-0.979242,-0.108816,-0.171009,0.686502,0.084265,-0.783245,144.250137,231.085922,-76.946556,,,,,,
